"","TypeEggs","Temperature","Period_length","replicate","start_eggs","hatched","ExpSetting","join.id"
"1","Diapausing",-20,"2 days","1",17,3,"Treatment","Diapausing_20_2_1"
"2","Diapausing",-20,"2 days","2",17,1,"Treatment","Diapausing_20_2_2"
"3","Diapausing",-20,"2 days","3",17,5,"Treatment","Diapausing_20_2_3"
"4","Diapausing",-20,"5 days","1",17,4,"Treatment","Diapausing_20_5_1"
"5","Diapausing",-20,"5 days","2",17,1,"Treatment","Diapausing_20_5_2"
"6","Diapausing",-20,"5 days","3",17,7,"Treatment","Diapausing_20_5_3"
"7","Diapausing",-20,"10 days","1",17,0,"Treatment","Diapausing_20_10_1"
"8","Diapausing",-20,"10 days","2",18,2,"Treatment","Diapausing_20_10_2"
"9","Diapausing",-20,"10 days","3",17,4,"Treatment","Diapausing_20_10_3"
"10","Diapausing",-20,"30 days","1",17,3,"Treatment","Diapausing_20_30_1"
"11","Diapausing",-20,"30 days","2",17,1,"Treatment","Diapausing_20_30_2"
"12","Diapausing",-20,"30 days","3",18,3,"Treatment","Diapausing_20_30_3"
"13","Non-Diapausing",-20,"2 days","1",20,3,"Treatment","Non-Diapausing_20_2_1"
"14","Non-Diapausing",-20,"2 days","2",21,4,"Treatment","Non-Diapausing_20_2_2"
"15","Non-Diapausing",-20,"2 days","3",19,4,"Treatment","Non-Diapausing_20_2_3"
"16","Non-Diapausing",-20,"5 days","1",20,1,"Treatment","Non-Diapausing_20_5_1"
"17","Non-Diapausing",-20,"5 days","2",20,6,"Treatment","Non-Diapausing_20_5_2"
"18","Non-Diapausing",-20,"5 days","3",20,4,"Treatment","Non-Diapausing_20_5_3"
"19","Non-Diapausing",-20,"10 days","1",19,2,"Treatment","Non-Diapausing_20_10_1"
"20","Non-Diapausing",-20,"10 days","2",21,4,"Treatment","Non-Diapausing_20_10_2"
"21","Non-Diapausing",-20,"10 days","3",20,4,"Treatment","Non-Diapausing_20_10_3"
"22","Non-Diapausing",-20,"20 days","1",22,0,"Treatment","Non-Diapausing_20_20_1"
"23","Non-Diapausing",-20,"20 days","2",20,0,"Treatment","Non-Diapausing_20_20_2"
"24","Non-Diapausing",-20,"20 days","3",19,0,"Treatment","Non-Diapausing_20_20_3"
"25","Non-Diapausing",-20,"30 days","1",20,1,"Treatment","Non-Diapausing_20_30_1"
"26","Non-Diapausing",-20,"30 days","2",19,2,"Treatment","Non-Diapausing_20_30_2"
"27","Non-Diapausing",-20,"30 days","3",24,1,"Treatment","Non-Diapausing_20_30_3"
"28","Diapausing",-15,"5 days","1",20,7,"Treatment","Diapausing_15_5_1"
"29","Diapausing",-15,"5 days","2",20,12,"Treatment","Diapausing_15_5_2"
"30","Diapausing",-15,"5 days","3",20,7,"Treatment","Diapausing_15_5_3"
"31","Diapausing",-15,"10 days","1",20,12,"Treatment","Diapausing_15_10_1"
"32","Diapausing",-15,"10 days","2",20,9,"Treatment","Diapausing_15_10_2"
"33","Diapausing",-15,"10 days","3",20,13,"Treatment","Diapausing_15_10_3"
"34","Diapausing",-15,"20 days","1",21,20,"Treatment","Diapausing_15_20_1"
"35","Diapausing",-15,"20 days","2",20,17,"Treatment","Diapausing_15_20_2"
"36","Non-Diapausing",-15,"2 days","1",20,3,"Treatment","Non-Diapausing_15_2_1"
"37","Non-Diapausing",-15,"2 days","2",19,2,"Treatment","Non-Diapausing_15_2_2"
"38","Non-Diapausing",-15,"2 days","3",22,2,"Treatment","Non-Diapausing_15_2_3"
"39","Non-Diapausing",-15,"5 days","1",20,3,"Treatment","Non-Diapausing_15_5_1"
"40","Non-Diapausing",-15,"5 days","2",20,1,"Treatment","Non-Diapausing_15_5_2"
"41","Non-Diapausing",-15,"5 days","3",20,6,"Treatment","Non-Diapausing_15_5_3"
"42","Non-Diapausing",-15,"10 days","1",20,0,"Treatment","Non-Diapausing_15_10_1"
"43","Non-Diapausing",-15,"10 days","2",20,1,"Treatment","Non-Diapausing_15_10_2"
"44","Non-Diapausing",-15,"10 days","3",19,2,"Treatment","Non-Diapausing_15_10_3"
"45","Non-Diapausing",-15,"20 days","1",21,3,"Treatment","Non-Diapausing_15_20_1"
"46","Non-Diapausing",-15,"20 days","2",20,2,"Treatment","Non-Diapausing_15_20_2"
"47","Non-Diapausing",-15,"20 days","3",21,3,"Treatment","Non-Diapausing_15_20_3"
"48","Non-Diapausing",-15,"30 days","1",26,2,"Treatment","Non-Diapausing_15_30_1"
"49","Non-Diapausing",-15,"30 days","2",20,3,"Treatment","Non-Diapausing_15_30_2"
"50","Non-Diapausing",-15,"30 days","3",22,0,"Treatment","Non-Diapausing_15_30_3"
"51","Diapausing",-10,"5 days","1",17,14,"Treatment","Diapausing_10_5_1"
"52","Diapausing",-10,"5 days","2",17,12,"Treatment","Diapausing_10_5_2"
"53","Diapausing",-10,"5 days","3",17,14,"Treatment","Diapausing_10_5_3"
"54","Diapausing",-10,"10 days","1",17,10,"Treatment","Diapausing_10_10_1"
"55","Diapausing",-10,"10 days","2",17,6,"Treatment","Diapausing_10_10_2"
"56","Diapausing",-10,"10 days","3",18,9,"Treatment","Diapausing_10_10_3"
"57","Diapausing",-10,"20 days","1",17,14,"Treatment","Diapausing_10_20_1"
"58","Diapausing",-10,"20 days","2",17,10,"Treatment","Diapausing_10_20_2"
"59","Diapausing",-10,"20 days","3",18,15,"Treatment","Diapausing_10_20_3"
"60","Diapausing",-10,"30 days","1",17,3,"Treatment","Diapausing_10_30_1"
"61","Diapausing",-10,"30 days","2",20,16,"Treatment","Diapausing_10_30_2"
"62","Diapausing",-10,"30 days","3",17,13,"Treatment","Diapausing_10_30_3"
"63","Non-Diapausing",-10,"2 days","1",20,10,"Treatment","Non-Diapausing_10_2_1"
"64","Non-Diapausing",-10,"2 days","2",21,8,"Treatment","Non-Diapausing_10_2_2"
"65","Non-Diapausing",-10,"2 days","3",19,7,"Treatment","Non-Diapausing_10_2_3"
"66","Non-Diapausing",-10,"5 days","1",20,6,"Treatment","Non-Diapausing_10_5_1"
"67","Non-Diapausing",-10,"5 days","2",20,3,"Treatment","Non-Diapausing_10_5_2"
"68","Non-Diapausing",-10,"5 days","3",20,4,"Treatment","Non-Diapausing_10_5_3"
"69","Non-Diapausing",-10,"10 days","1",20,4,"Treatment","Non-Diapausing_10_10_1"
"70","Non-Diapausing",-10,"10 days","2",21,7,"Treatment","Non-Diapausing_10_10_2"
"71","Non-Diapausing",-10,"10 days","3",21,6,"Treatment","Non-Diapausing_10_10_3"
"72","Non-Diapausing",-10,"20 days","1",20,5,"Treatment","Non-Diapausing_10_20_1"
"73","Non-Diapausing",-10,"20 days","2",21,8,"Treatment","Non-Diapausing_10_20_2"
"74","Non-Diapausing",-10,"20 days","3",20,4,"Treatment","Non-Diapausing_10_20_3"
"75","Non-Diapausing",-10,"30 days","1",17,8,"Treatment","Non-Diapausing_10_30_1"
"76","Non-Diapausing",-10,"30 days","2",21,4,"Treatment","Non-Diapausing_10_30_2"
"77","Non-Diapausing",-10,"30 days","3",22,3,"Treatment","Non-Diapausing_10_30_3"
"78","Diapausing",-5,"2 days","1",21,13,"Treatment","Diapausing_5_2_1"
"79","Diapausing",-5,"2 days","2",20,7,"Treatment","Diapausing_5_2_2"
"80","Diapausing",-5,"2 days","3",21,7,"Treatment","Diapausing_5_2_3"
"81","Diapausing",-5,"5 days","1",17,7,"Treatment","Diapausing_5_5_1"
"82","Diapausing",-5,"5 days","2",19,11,"Treatment","Diapausing_5_5_2"
"83","Diapausing",-5,"5 days","3",20,11,"Treatment","Diapausing_5_5_3"
"84","Diapausing",-5,"10 days","1",28,14,"Treatment","Diapausing_5_10_1"
"85","Diapausing",-5,"10 days","2",21,11,"Treatment","Diapausing_5_10_2"
"86","Diapausing",-5,"10 days","3",11,7,"Treatment","Diapausing_5_10_3"
"87","Diapausing",-5,"20 days","1",20,12,"Treatment","Diapausing_5_20_1"
"88","Diapausing",-5,"20 days","2",19,14,"Treatment","Diapausing_5_20_2"
"89","Diapausing",-5,"20 days","3",20,14,"Treatment","Diapausing_5_20_3"
"90","Diapausing",-5,"30 days","1",20,13,"Treatment","Diapausing_5_30_1"
"91","Diapausing",-5,"30 days","2",20,17,"Treatment","Diapausing_5_30_2"
"92","Diapausing",-5,"30 days","3",19,17,"Treatment","Diapausing_5_30_3"
"93","Non-Diapausing",-5,"2 days","1",23,15,"Treatment","Non-Diapausing_5_2_1"
"94","Non-Diapausing",-5,"2 days","2",18,9,"Treatment","Non-Diapausing_5_2_2"
"95","Non-Diapausing",-5,"2 days","3",19,17,"Treatment","Non-Diapausing_5_2_3"
"96","Non-Diapausing",-5,"5 days","1",19,10,"Treatment","Non-Diapausing_5_5_1"
"97","Non-Diapausing",-5,"5 days","2",19,14,"Treatment","Non-Diapausing_5_5_2"
"98","Non-Diapausing",-5,"5 days","3",22,16,"Treatment","Non-Diapausing_5_5_3"
"99","Non-Diapausing",-5,"10 days","1",20,9,"Treatment","Non-Diapausing_5_10_1"
"100","Non-Diapausing",-5,"10 days","2",19,13,"Treatment","Non-Diapausing_5_10_2"
"101","Non-Diapausing",-5,"10 days","3",21,17,"Treatment","Non-Diapausing_5_10_3"
"102","Non-Diapausing",-5,"20 days","1",23,13,"Treatment","Non-Diapausing_5_20_1"
"103","Non-Diapausing",-5,"20 days","2",18,16,"Treatment","Non-Diapausing_5_20_2"
"104","Non-Diapausing",-5,"20 days","3",19,13,"Treatment","Non-Diapausing_5_20_3"
"105","Non-Diapausing",-5,"30 days","1",23,11,"Treatment","Non-Diapausing_5_30_1"
"106","Non-Diapausing",-5,"30 days","2",17,7,"Treatment","Non-Diapausing_5_30_2"
"107","Non-Diapausing",-5,"30 days","3",21,13,"Treatment","Non-Diapausing_5_30_3"
"108","Non-Diapausing",0,"2 days","1",20,9,"Treatment","Non-Diapausing_0_2_1"
"109","Non-Diapausing",0,"2 days","2",20,14,"Treatment","Non-Diapausing_0_2_2"
"110","Non-Diapausing",0,"2 days","3",21,15,"Treatment","Non-Diapausing_0_2_3"
"111","Non-Diapausing",0,"5 days","1",22,16,"Treatment","Non-Diapausing_0_5_1"
"112","Non-Diapausing",0,"5 days","2",21,11,"Treatment","Non-Diapausing_0_5_2"
"113","Non-Diapausing",0,"5 days","3",22,14,"Treatment","Non-Diapausing_0_5_3"
"114","Non-Diapausing",0,"10 days","1",21,6,"Treatment","Non-Diapausing_0_10_1"
"115","Non-Diapausing",0,"10 days","2",20,10,"Treatment","Non-Diapausing_0_10_2"
"116","Non-Diapausing",0,"10 days","3",20,10,"Treatment","Non-Diapausing_0_10_3"
"117","Non-Diapausing",0,"20 days","1",20,4,"Treatment","Non-Diapausing_0_20_1"
"118","Non-Diapausing",0,"20 days","2",21,16,"Treatment","Non-Diapausing_0_20_2"
"119","Non-Diapausing",0,"20 days","3",19,9,"Treatment","Non-Diapausing_0_20_3"
"120","Non-Diapausing",0,"30 days","1",20,15,"Treatment","Non-Diapausing_0_30_1"
"121","Non-Diapausing",0,"30 days","2",23,10,"Treatment","Non-Diapausing_0_30_2"
"122","Non-Diapausing",0,"30 days","3",20,14,"Treatment","Non-Diapausing_0_30_3"
"123","Diapausing",0,"2 days","1",20,7,"Treatment","Diapausing_0_2_1"
"124","Diapausing",0,"2 days","2",20,7,"Treatment","Diapausing_0_2_2"
"125","Diapausing",0,"2 days","3",20,5,"Treatment","Diapausing_0_2_3"
"126","Diapausing",0,"5 days","1",18,1,"Treatment","Diapausing_0_5_1"
"127","Diapausing",0,"5 days","2",21,13,"Treatment","Diapausing_0_5_2"
"128","Diapausing",0,"5 days","3",21,9,"Treatment","Diapausing_0_5_3"
"129","Diapausing",0,"10 days","1",19,8,"Treatment","Diapausing_0_10_1"
"130","Diapausing",0,"10 days","2",21,8,"Treatment","Diapausing_0_10_2"
"131","Diapausing",0,"10 days","3",20,8,"Treatment","Diapausing_0_10_3"
"132","Diapausing",0,"20 days","1",18,10,"Treatment","Diapausing_0_20_1"
"133","Diapausing",0,"20 days","2",22,12,"Treatment","Diapausing_0_20_2"
"134","Diapausing",0,"20 days","3",21,13,"Treatment","Diapausing_0_20_3"
"135","Diapausing",0,"30 days","1",21,15,"Treatment","Diapausing_0_30_1"
"136","Diapausing",0,"30 days","2",20,12,"Treatment","Diapausing_0_30_2"
"137","Diapausing",0,"30 days","3",21,9,"Treatment","Diapausing_0_30_3"
"138","Diapausing",-5,"2 days","1",20,12,"Control","Diapausing_5_2_1"
"139","Diapausing",-5,"2 days","2",22,10,"Control","Diapausing_5_2_2"
"140","Diapausing",-5,"2 days","3",20,11,"Control","Diapausing_5_2_3"
"141","Diapausing",-5,"5 days","1",23,12,"Control","Diapausing_5_5_1"
"142","Diapausing",-5,"5 days","2",19,11,"Control","Diapausing_5_5_2"
"143","Diapausing",-5,"5 days","3",20,15,"Control","Diapausing_5_5_3"
"144","Diapausing",-5,"10 days","1",21,11,"Control","Diapausing_5_10_1"
"145","Diapausing",-5,"10 days","2",21,10,"Control","Diapausing_5_10_2"
"146","Diapausing",-5,"10 days","3",18,8,"Control","Diapausing_5_10_3"
"147","Diapausing",-5,"20 days","1",22,14,"Control","Diapausing_5_20_1"
"148","Diapausing",-5,"20 days","2",19,16,"Control","Diapausing_5_20_2"
"149","Diapausing",-5,"20 days","3",19,13,"Control","Diapausing_5_20_3"
"150","Diapausing",-5,"30 days","1",19,13,"Control","Diapausing_5_30_1"
"151","Diapausing",-5,"30 days","2",21,14,"Control","Diapausing_5_30_2"
"152","Diapausing",-5,"30 days","3",20,14,"Control","Diapausing_5_30_3"
"153","Non-Diapausing",-5,"2 days","1",19,15,"Control","Non-Diapausing_5_2_1"
"154","Non-Diapausing",-5,"2 days","2",21,14,"Control","Non-Diapausing_5_2_2"
"155","Non-Diapausing",-5,"2 days","3",20,4,"Control","Non-Diapausing_5_2_3"
"156","Non-Diapausing",-5,"5 days","1",20,13,"Control","Non-Diapausing_5_5_1"
"157","Non-Diapausing",-5,"5 days","2",21,19,"Control","Non-Diapausing_5_5_2"
"158","Non-Diapausing",-5,"5 days","3",19,15,"Control","Non-Diapausing_5_5_3"
"159","Non-Diapausing",-5,"10 days","1",21,13,"Control","Non-Diapausing_5_10_1"
"160","Non-Diapausing",-5,"10 days","2",21,13,"Control","Non-Diapausing_5_10_2"
"161","Non-Diapausing",-5,"10 days","3",20,15,"Control","Non-Diapausing_5_10_3"
"162","Non-Diapausing",-5,"20 days","1",18,11,"Control","Non-Diapausing_5_20_1"
"163","Non-Diapausing",-5,"20 days","2",22,12,"Control","Non-Diapausing_5_20_2"
"164","Non-Diapausing",-5,"20 days","3",21,12,"Control","Non-Diapausing_5_20_3"
"165","Non-Diapausing",-5,"30 days","1",23,11,"Control","Non-Diapausing_5_30_1"
"166","Non-Diapausing",-5,"30 days","2",19,7,"Control","Non-Diapausing_5_30_2"
"167","Non-Diapausing",-5,"30 days","3",19,12,"Control","Non-Diapausing_5_30_3"
"168","Non-Diapausing",-10,"2 days","1",20,19,"Control","Non-Diapausing_10_2_1"
"169","Non-Diapausing",-10,"2 days","2",20,11,"Control","Non-Diapausing_10_2_2"
"170","Non-Diapausing",-10,"2 days","3",20,10,"Control","Non-Diapausing_10_2_3"
"171","Non-Diapausing",-10,"5 days","1",20,17,"Control","Non-Diapausing_10_5_1"
"172","Non-Diapausing",-10,"5 days","2",21,18,"Control","Non-Diapausing_10_5_2"
"173","Non-Diapausing",-10,"5 days","3",20,7,"Control","Non-Diapausing_10_5_3"
"174","Non-Diapausing",0,"2 days","1",20,12,"Control","Non-Diapausing_0_2_1"
"175","Non-Diapausing",0,"2 days","2",22,19,"Control","Non-Diapausing_0_2_2"
"176","Non-Diapausing",0,"2 days","3",19,11,"Control","Non-Diapausing_0_2_3"
"177","Non-Diapausing",0,"5 days","1",22,16,"Control","Non-Diapausing_0_5_1"
"178","Non-Diapausing",0,"5 days","2",20,11,"Control","Non-Diapausing_0_5_2"
"179","Non-Diapausing",0,"5 days","3",20,10,"Control","Non-Diapausing_0_5_3"
"180","Non-Diapausing",0,"10 days","1",24,13,"Control","Non-Diapausing_0_10_1"
"181","Non-Diapausing",0,"10 days","2",21,11,"Control","Non-Diapausing_0_10_2"
"182","Non-Diapausing",0,"10 days","3",20,6,"Control","Non-Diapausing_0_10_3"
"183","Non-Diapausing",0,"20 days","1",20,8,"Control","Non-Diapausing_0_20_1"
"184","Non-Diapausing",0,"20 days","2",20,9,"Control","Non-Diapausing_0_20_2"
"185","Non-Diapausing",0,"20 days","3",20,10,"Control","Non-Diapausing_0_20_3"
"186","Non-Diapausing",0,"30 days","1",20,9,"Control","Non-Diapausing_0_30_1"
"187","Non-Diapausing",0,"30 days","2",23,12,"Control","Non-Diapausing_0_30_2"
"188","Non-Diapausing",0,"30 days","3",20,6,"Control","Non-Diapausing_0_30_3"
"189","Diapausing",0,"2 days","1",20,9,"Control","Diapausing_0_2_1"
"190","Diapausing",0,"2 days","2",20,8,"Control","Diapausing_0_2_2"
"191","Diapausing",0,"2 days","3",20,6,"Control","Diapausing_0_2_3"
"192","Diapausing",0,"5 days","1",20,8,"Control","Diapausing_0_5_1"
"193","Diapausing",0,"5 days","2",20,9,"Control","Diapausing_0_5_2"
"194","Diapausing",0,"5 days","3",20,11,"Control","Diapausing_0_5_3"
"195","Diapausing",0,"10 days","1",21,10,"Control","Diapausing_0_10_1"
"196","Diapausing",0,"10 days","2",19,8,"Control","Diapausing_0_10_2"
"197","Diapausing",0,"10 days","3",20,8,"Control","Diapausing_0_10_3"
"198","Diapausing",0,"20 days","1",21,16,"Control","Diapausing_0_20_1"
"199","Diapausing",0,"20 days","2",20,10,"Control","Diapausing_0_20_2"
"200","Diapausing",0,"20 days","3",21,17,"Control","Diapausing_0_20_3"
"201","Diapausing",0,"30 days","1",23,8,"Control","Diapausing_0_30_1"
"202","Diapausing",0,"30 days","2",16,13,"Control","Diapausing_0_30_2"
"203","Diapausing",0,"30 days","3",20,17,"Control","Diapausing_0_30_3"
